crn,courseDept,courseNum,hours,startTime,endTime,days,instructorFirstName,instructorLastName
41758,AAS,100,3,09:00 AM,09:50 AM,F,R,Zheng
47100,AAS,100,3,12:00 PM,12:50 PM,F,P,Atienza
47102,AAS,100,3,01:00 PM,01:50 PM,F,Y,Wang
51248,AAS,100,3,10:00 AM,10:50 AM,F,R,Zheng
51249,AAS,100,3,11:00 AM,11:50 AM,F,P,Atienza
51932,AAS,100,3,02:00 PM,02:50 PM,F,Y,Wang
59818,AAS,100,3,10:00 AM,10:50 AM,F,D,Gonzalez
59819,AAS,100,3,11:00 AM,11:50 AM,F,D,Gonzalez
59820,AAS,100,3,02:00 PM,02:50 PM,F,A,Rosado-Torres
59821,AAS,100,3,01:00 PM,01:50 PM,F,A,Rosado-Torres
29646,AAS,100,3,01:00 PM,01:50 PM,MW,J,Rana
51394,AAS,120,3,11:00 AM,12:20 PM,MW,,
67473,AAS,200,3,02:00 PM,03:20 PM,MW,,
71040,AAS,201,3,ARRANGED,,,,
71043,AAS,201,3,ARRANGED,,,,
74251,AAS,201,3,ARRANGED,,,,
75111,AAS,275,3,02:00 PM,02:50 PM,F,C,Martins Freitas
71455,AAS,275,3,02:00 PM,02:50 PM,R,M,Nguyen
71457,AAS,275,3,04:00 PM,04:50 PM,R,M,Nguyen
71459,AAS,275,3,09:00 AM,09:50 AM,F,M,Nguyen
71461,AAS,275,3,11:00 AM,11:50 AM,F,C,Martins Freitas
73306,AAS,275,3,03:00 PM,03:50 PM,W,D,McCarthy
73308,AAS,275,3,04:00 PM,04:50 PM,W,D,McCarthy
73313,AAS,275,3,10:00 AM,10:50 AM,F,J,Hernandez
73315,AAS,275,3,12:00 PM,12:50 PM,F,M,Nguyen
75109,AAS,275,3,05:00 PM,05:50 PM,R,J,Hernandez
71453,AAS,275,3,12:00 PM,12:50 PM,MW,M,Nguyen
71409,AAS,281,3,09:00 AM,09:50 AM,F,A,Burgos
71413,AAS,281,3,01:00 PM,01:50 PM,F,A,Burgos
71417,AAS,281,3,12:00 PM,12:50 PM,F,A,Burgos
75269,AAS,281,3,12:00 PM,12:50 PM,F,A,Burgos
75272,AAS,281,3,03:00 PM,03:50 PM,W,A,Burgos
75275,AAS,281,3,02:00 PM,02:50 PM,W,A,Burgos
70106,AAS,281,3,12:00 PM,12:50 PM,MW,A,Burgos
64421,AAS,297,3,09:30 AM,10:45 AM,TR,D,Chih
66652,AAS,300,3,02:00 PM,03:20 PM,TR,,
65000,AAS,310,4,02:00 PM,03:50 PM,R,,
33764,AAS,310,4,02:00 PM,03:50 PM,R,,
33770,AAS,310,4,02:00 PM,03:50 PM,T,J,Anderson
75368,AAS,357,3,02:00 PM,03:20 PM,TR,J,de la Garza
45567,AAS,402,4,02:30 PM,04:20 PM,T,S,Lee
64998,AAS,402,4,02:30 PM,04:20 PM,T,S,Lee
55874,AAS,479,4,02:00 PM,04:20 PM,M,N,Lira
55873,AAS,479,3,02:00 PM,04:20 PM,M,N,Lira
31311,AAS,490,3,ARRANGED,,,,
73838,AAS,589,4,ARRANGED,,,,
72060,ABE,100,1,01:00 PM,02:50 PM,R,R,Bhattarai
10141,ABE,199,1 TO 5,ARRANGED,,,,
70613,ABE,199,1,12:00 PM,12:50 PM,W,A,Boone
55376,ABE,199,3,01:00 PM,02:20 PM,MW,R,Bhattarai
74078,ABE,199,1,ARRANGED,,,A,Witmer
