courseNum,UPPER(courseDept),Id
101,MUS,1
103,MCB,1
120,BIOE,1
128,THE,1
173,CS,2
202,FALL,3
210,ECE,4
225,CS,5
232,CHEM,1
232,CS,5
257,CS,5
300,ME,1
300,ME,6
300,ME,4
307,ECE,4
310,ECE,7
310,ECE,1
310,ECE,1
310,ECE,5
310,ECE,8
310,ECE,2
310,ECE,9
310,ECE,10
310,ECE,11
310,ECE,12
310,ME,1
311,ECE,1
313,ECE,7
313,ECE,1
313,ECE,8
313,ECE,2
313,ECE,13
313,ECE,9
313,ECE,4
313,ECE,12
313,ECE,14
329,ECE,15
330,ECE,2
330,ECE,4
333,ECE,4
335,TAM,1
340,ECE,1
340,ECE,5
340,ECE,15
340,ME,1
342,ECE,1
342,ECE,5
342,ECE,8
342,ECE,4
342,ECE,12
343,ECE,8
343,ECE,4
348,ECE,2
350,ECE,8
350,ECE,3
350,ECE,10
350,ECE,11
350,ECE,12
357,CS,15
357,CS,6
357,CS,4
361,ECE,1
361,ECE,5
361,ECE,8
361,ECE,2
361,ECE,9
361,ECE,16
361,ECE,11
361,ECE,12
374,ECE,13
374,ECE,9
380,ECE,1
385,ECE,5
391,ECE,1
391,ECE,5
391,ECE,8
391,ECE,4
391,ECE,12
398,ECE,17
401,MCB,1
401,MSE,1
401,MSE,10
402,ECE,1
402,MCB,1
402,MUS,1
402,NPRE,4
402,SICS,3
403,ECE,1
403,MCB,1
406,PHYS,1
407,MUS,1
408,ECE,15
411,ECE,5
411,ECE,2
411,ECE,15
411,ECE,12
412,ECE,1
412,ECE,5
412,ECE,2
414,BIOE,1
414,ECE,1
415,ECE,1
415,MATH,5
415,MATH,8
415,MATH,2
415,MATH,9
415,MATH,4
415,MATH,11
415,MATH,12
416,ECE,1
416,MATH,8
416,MATH,2
417,BIOE,17
417,ECE,7
418,ECE,8
418,ECE,12
418,MATH,2
418,MATH,12
419,ECE,14
420,ECE,8
420,ECE,2
420,ECE,12
422,ECE,13
422,ECE,14
423,GE,2
424,ECE,14
424,GE,2
425,ECE,5
425,ECE,15
425,ECE,12
425,STAT,5
428,ECE,5
428,ECE,8
428,ECE,13
428,ECE,9
428,ECE,16
428,ECE,14
431,CS,13
431,CS,9
431,ECE,4
432,MCB,17
435,CS,5
435,ECE,8
435,ECE,14
435,NPRE,1
437,ECE,1
438,ECE,5
438,ECE,8
438,ECE,16
438,ECE,12
439,ECE,8
439,ECE,16
439,ECE,14
440,CS,7
440,CS,1
441,ECE,6
441,ECE,10
442,CHEM,10
442,ECE,3
442,ECE,6
442,MATH,11
444,ECE,1
444,ECE,5
444,ECE,15
444,ECE,6
444,ECE,10
444,MATH,8
444,MATH,2
444,MATH,12
445,ECE,15
446,CS,7
446,CS,1
446,MATH,5
446,MATH,8
446,MATH,2
446,MATH,3
446,MATH,6
446,MATH,11
446,MATH,12
447,ECE,5
447,ECE,6
447,MATH,8
447,MATH,2
447,MATH,12
448,ANSC,17
448,CS,2
448,ECE,7
448,ECE,5
451,ECE,3
452,ECE,8
452,ECE,3
452,ECE,6
452,ECE,11
453,ECE,1
453,ECE,5
453,ECE,8
453,ECE,3
453,ECE,11
453,ECE,12
454,ECE,8
454,ECE,3
454,ECE,11
455,CS,11
455,ECE,3
455,ECE,6
456,ECE,11
457,CHBE,10
457,ECE,3
457,ECE,6
458,ECE,8
458,ECE,3
458,ECE,11
459,ECE,1
459,ECE,5
459,ECE,8
459,ECE,2
459,ECE,3
459,ECE,11
459,ECE,12
460,CS,14
460,ECE,3
460,ECE,6
460,ECE,11
460,ECE,12
460,PHYS,6
460,PHYS,10
461,CS,14
461,MATH,2
462,CS,5
462,ECE,15
463,CS,14
463,ECE,8
463,ECE,12
464,ECE,1
464,ECE,5
464,ECE,2
464,ECE,4
466,CS,17
466,MATH,2
467,ECE,1
467,IB,17
468,COMM,8
468,COMM,8
468,ECE,11
469,ECE,1
469,ECE,4
470,CHEM,17
470,ECE,7
470,ECE,2
470,ECE,13
472,ECE,1
473,CS,13
473,CS,9
473,ECE,1
475,CS,13
475,ECE,1
476,CS,9
476,ECE,4
480,ECE,1
480,ECE,12
481,ECE,10
482,ECE,5
482,ECE,12
483,ECE,5
483,ECE,4
483,ECE,12
484,ECE,6
485,ECE,1
485,ME,10
486,ECE,7
486,ECE,1
486,ECE,5
486,ECE,8
486,ECE,2
486,ECE,13
486,ECE,9
486,ECE,4
486,ECE,12
486,PHYS,6
486,PHYS,10
487,ECE,6
487,ECE,10
487,MSE,10
487,PHYS,6
487,PHYS,10
488,ECE,6
488,ECE,10
489,ECE,7
489,ECE,2
490,ECE,5
490,ECE,8
490,ECE,2
490,ECE,9
491,MATH,5
492,ECE,15
495,ECE,6
498,CS,14
498,ECE,3
498,ECE,16
499,CPSC,17
499,MUS,1
507,IB,17
512,CS,17
515,ECE,2
515,ECE,13
526,ECE,16
530,STAT,17
534,ECE,8
541,ECE,13
541,ECE,14
542,ECE,14
542,STAT,17
545,ANSC,17
545,CPSC,17
556,ECE,9
562,ECE,8
563,ECE,8
563,ECE,9
571,CHBE,17
571,MCB,17
584,CS,14
584,ECE,13
594,ECE,17
598,CS,14
