courseDept,courseNum,GPA,title
AAS,100,3.58,Intro Asian American Studies
AAS,105,3.69,Introduction to Arab American Studies
AAS,120,3.21,Intro to Asian Am Pop Culture
AAS,200,3.71,U.S. Race and Empire
AAS,211,3.47,Asian Americans and the Arts
AAS,215,3.37,US Citizenship Comparatively
AAS,246,3.71,Asian American Youth in Film
AAS,258,3.78,Muslims in America
AAS,287,3.86,Food and Asian Americans
AAS,315,3.37,"War, Memory, and Cinema"
AAS,365,3.32,Asian American Media and Film
AAS,370,3.03,"Immigration, Law, and Rights"
ABE,100,3.66,Intro Agric & Biological Engrg
ABE,141,3.47,ABE Principles: Biological
ABE,199,3.97,Undergraduate Open Seminar
ABE,223,3.48,ABE Principles: Machine Syst
ABE,224,3.65,ABE Principles: Soil & Water
ABE,225,3.24,ABE Principles: Bioenvironment
ABE,226,3.34,ABE Principles: Bioprocessing
ABE,341,3.09,Transport Processes in ABE
ABE,361,3.37,Off-Road Machine Design
ABE,425,3.71,Engrg Measurement Systems
ABE,430,3.61,Project Management
ABE,436,3.33,Renewable Energy Systems
ABE,446,3.7,Biological Nanoengineering
ABE,456,3.82,Land & Water Resources Engrg
ABE,457,3.87,NPS Pollution Processes
ABE,466,3.33,Engineering Off-Road Vehicles
ABE,469,3.61,Industry-Linked Design Project
ABE,483,3.58,Engineering Properties of Food Materials
ABE,488,3.54,Bioprocessing Biomass for Fuel
ABE,498,3.81,Special Topics
ABE,501,3.83,Graduate Research I
ABE,598,3.67,Special Topics
ACCY,200,3.17,Fundamentals of Accounting
ACCY,201,3.19,Accounting and Accountancy I
ACCY,202,3.25,Accounting and Accountancy II
ACCY,301,3.34,Atg Measurement & Disclosure
ACCY,302,3.34,Decision Making for Atg
ACCY,303,3.34,Accounting Institutions and Regulation
ACCY,304,3.37,Accounting Control Systems
ACCY,312,3.28,Principles of Taxation
ACCY,398,3.94,Practical Problems in Atg
ACCY,405,3.39,Assurance and Attestation
ACCY,410,3.33,Advanced Financial Reporting
ACCY,415,3.28,Auditing Stds and Practice
ACCY,451,3.36,Advanced Income Tax Problems
ACCY,500,3.64,"Accounting Measurement, Reporting, and Control"
ACCY,501,3.54,Accounting Analysis I
ACCY,502,3.53,Accounting Analysis II
ACCY,503,3.58,Managerial Accounting
ACCY,504,3.54,Auditing
ACCY,505,3.64,Federal Taxation
ACCY,506,3.45,Advanced Topics in Accounting
ACCY,507,3.75,Taxation of Business Entities
ACCY,510,3.48,Financial Reporting Standards
ACCY,511,3.52,External Risk Measurement and Reporting
ACCY,512,3.76,Data Analytics for Management Accounting
ACCY,515,3.45,Auditing & Assurance Standards
ACCY,517,3.54,Financial Statement Analysis
ACCY,518,3.97,Financial Statement Fraud
ACCY,550,3.61,Multistate Taxation
ACCY,551,3.37,Corporate Income Taxation
ACCY,552,3.4,Partnership Income Taxation
ACCY,553,3.55,Selected Topics in Fed Tax
ACCY,554,3.54,International Taxation
ACCY,555,3.51,Income Tax Accounting
ACCY,556,3.57,Tax Research
ACCY,557,3.6,Accounting Periods and Methods
ACCY,558,3.79,Taxation of Closely-Held Bus.
