courseNum,courseDept,interest
101,MUS,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
103,MCB,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
120,BIOE,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
128,the,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
173,CS,CONTROL SYSTEMS
202,Fall,ELECTROMAGNETICS
210,ECE,POWER AND ENERGY SYSTEMS
225,CS,CIRCUITS
232,CHEM,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
232,CS,CIRCUITS
257,CS,CIRCUITS
300,ME,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
300,ME,MICROELECTRONICS/PHOTONICS
300,ME,POWER AND ENERGY SYSTEMS
307,ECE,POWER AND ENERGY SYSTEMS
310,ECE,"ARTIFICIAL INTELLIGENCE, ROBOTICS, AND CYBERNETICS"
310,ECE,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
310,ECE,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
310,ECE,CIRCUITS
310,ECE,COMMUNICATION SYSTEMS
310,ECE,CONTROL SYSTEMS
310,ECE,FOUNDATIONS AND THEORY
310,ECE,NANOTECHNOLOGY
310,ECE,REMOTE SENSING AND SPACE SCIENCE
310,ECE,SIGNAL PROCESSING
310,ME,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
311,ECE,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
313,ECE,"ARTIFICIAL INTELLIGENCE, ROBOTICS, AND CYBERNETICS"
313,ECE,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
313,ECE,COMMUNICATION SYSTEMS
313,ECE,CONTROL SYSTEMS
313,ECE,CYBERPHYSICAL SYSTEMS
313,ECE,FOUNDATIONS AND THEORY
313,ECE,POWER AND ENERGY SYSTEMS
313,ECE,SIGNAL PROCESSING
313,ECE,"TRUST, RELIABILITY, AND SECURITY"
329,ECE,HARDWARE SYSTEMS
330,ECE,CONTROL SYSTEMS
330,ECE,POWER AND ENERGY SYSTEMS
333,ECE,POWER AND ENERGY SYSTEMS
335,TAM,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
340,ECE,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
340,ECE,CIRCUITS
340,ECE,HARDWARE SYSTEMS
340,ME,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
342,ECE,"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING"
342,ECE,CIRCUITS
342,ECE,COMMUNICATION SYSTEMS
342,ECE,POWER AND ENERGY SYSTEMS
342,ECE,SIGNAL PROCESSING
343,ECE,COMMUNICATION SYSTEMS
343,ECE,POWER AND ENERGY SYSTEMS
348,ECE,CONTROL SYSTEMS
350,ECE,COMMUNICATION SYSTEMS
350,ECE,ELECTROMAGNETICS
