crn, instructorFirstName, instructorLastName
41758,R,Zheng
47100,P,Atienza
47102,Y,Wang
51248,R,Zheng
51249,P,Atienza
51932,Y,Wang
59818,D,Gonzalez
59819,D,Gonzalez
59820,A,Rosado-Torres
59821,A,Rosado-Torres
29646,J,Rana
51394,,
67473,,
71040,,
71043,,
74251,,
75111,C,Martins Freitas
71455,M,Nguyen
71457,M,Nguyen
71459,M,Nguyen
71461,C,Martins Freitas
73306,D,McCarthy
73308,D,McCarthy
73313,J,Hernandez
73315,M,Nguyen
75109,J,Hernandez
71453,M,Nguyen
71409,A,Burgos
71413,A,Burgos
71417,A,Burgos
75269,A,Burgos
75272,A,Burgos
75275,A,Burgos
70106,A,Burgos
64421,D,Chih
66652,,
65000,,
33764,,
33770,J,Anderson
75368,J,de la Garza
45567,S,Lee
64998,S,Lee
55874,N,Lira
55873,N,Lira
31311,,
73838,,
72060,R,Bhattarai
10141,,
70613,A,Boone
55376,R,Bhattarai
74078,A,Witmer
73520,A,Witmer
58928,T,Grift
58929,T,Grift
58930,T,Grift
58927,T,Grift
58932,P,Kalita
58933,P,Kalita
58931,P,Kalita
75460,A,Witmer
57598,K,Rausch
75280,C,Allen
50272,,
64780,P,Davidson
64781,P,Davidson
64782,P,Davidson
64779,P,Davidson
68450,X,Wang
68451,X,Wang
33575,A,Lipka
34029,A,Lipka
34047,A,Lipka
34061,A,Lipka
55892,A,Lipka
67023,S,Rodriguez Zas
75570,L,Rodriguez
29655,R,Cooke
39805,R,Cooke
31273,C,Allen
31277,C,Allen
31280,C,Allen
29660,Y,Zhang
29662,Y,Zhang
29663,M,Kamruzzaman
57478,V,Singh
50183,,
10169,,
70448,R,Bhattarai
70449,R,Bhattarai
72232,X,Wang
39806,Y,Zhang
75474,A,Witmer
47356,G,Chowdhary
10174,,
10177,,
10033,,
69998,D,Harper
39539,L,Zhang
29670,P,Silhan
36478,,
36482,,
36484,,
36486,,
36487,,
36489,,
36494,,
36496,,
36499,,
36502,,
36506,,
36509,,
36513,,
36516,,
36522,,
36526,,
36530,,
36536,,
36538,,
36543,,
36474,M,Fisher
36477,M,Fisher
71428,M,Fisher
36552,,
36556,,
36560,,
36565,,
36568,,
36574,,
71329,,
71330,,
71331,,
71332,,
36549,J,Shapland
71328,J,Shapland
45794,J,Shapland
36577,S,Mendoza
36581,S,Mendoza
36584,M,Alt
36587,J,Johnson
36590,T,Sougiannis
36592,J,Johnson
36598,T,Sougiannis
49255,J,Johnson
36610,M,Wu
36614,J,Samet
36618,J,Samet
36677,S,Curtis
36680,S,Curtis
36688,M,Wu
49258,J,Samet
36690,S,Curtis
36691,S,Curtis
36692,D,Godsell
36700,D,Godsell
36701,D,Godsell
36713,S,Pachera
49259,S,Pachera
36703,S,Pachera
67818,B,Hamm
31317,C,Hayne
31318,C,Hayne
31319,C,Hayne
31320,M,Williamson
49280,M,Williamson
62036,M,Williamson
31321,D,Holder
31324,M,Penn
31330,M,Hutchens
31332,C,Holder
31333,M,Hutchens
45719,M,Penn
45934,M,Hutchens
