courseNum,courseDept,interest
398,ECE,BIG DATA ANALYTICS AND SYSTEMS
571,CHBE,BIG DATA ANALYTICS AND SYSTEMS
571,MCB,BIG DATA ANALYTICS AND SYSTEMS
530,STAT,BIG DATA ANALYTICS AND SYSTEMS
545,ANSC,BIG DATA ANALYTICS AND SYSTEMS
545,CPSC,BIG DATA ANALYTICS AND SYSTEMS
507,IB,BIG DATA ANALYTICS AND SYSTEMS
594,ECE,BIG DATA ANALYTICS AND SYSTEMS
512,CS,BIG DATA ANALYTICS AND SYSTEMS
542,STAT,BIG DATA ANALYTICS AND SYSTEMS
466,CS,BIG DATA ANALYTICS AND SYSTEMS
432,MCB,BIG DATA ANALYTICS AND SYSTEMS
448,ANSC,BIG DATA ANALYTICS AND SYSTEMS
417,BIOE,BIG DATA ANALYTICS AND SYSTEMS
470,CHEM,BIG DATA ANALYTICS AND SYSTEMS
499,CPSC,BIG DATA ANALYTICS AND SYSTEMS
499,CPSC,BIG DATA ANALYTICS AND SYSTEMS
467,IB,BIG DATA ANALYTICS AND SYSTEMS
