courseNum,courseDept,interest
482,ECE,CIRCUITS
342,ECE,CIRCUITS
483,ECE,CIRCUITS
444,ECE,CIRCUITS
340,ECE,CIRCUITS
425,ECE,CIRCUITS
435,CS,CIRCUITS
385,ECE,CIRCUITS
232,CS,CIRCUITS
361,ECE,CIRCUITS
391,ECE,CIRCUITS
310,ECE,CIRCUITS
411,ECE,CIRCUITS
412,ECE,CIRCUITS
428,ECE,CIRCUITS
438,ECE,CIRCUITS
447,ECE,CIRCUITS
448,ECE,CIRCUITS
453,ECE,CIRCUITS
459,ECE,CIRCUITS
462,CS,CIRCUITS
491,Math,CIRCUITS
464,ECE,CIRCUITS
486,ECE,CIRCUITS
490,ECE,CIRCUITS
415,Math,CIRCUITS
446,Math,CIRCUITS
425,Stat,CIRCUITS
225,CS,CIRCUITS
257,CS,CIRCUITS
