courseNum,courseDept,interest
418,MATH,CONTROL SYSTEMS
415,MATH,CONTROL SYSTEMS
444,MATH,CONTROL SYSTEMS
447,MATH,CONTROL SYSTEMS
490,ECE,CONTROL SYSTEMS
515,ECE,CONTROL SYSTEMS
313,ECE,CONTROL SYSTEMS
310,ECE,CONTROL SYSTEMS
459,ECE,CONTROL SYSTEMS
486,ECE,CONTROL SYSTEMS
361,ECE,CONTROL SYSTEMS
490,ECE,CONTROL SYSTEMS
486,ECE,CONTROL SYSTEMS
415,MATH,CONTROL SYSTEMS
416,MATH,CONTROL SYSTEMS
415,MATH,CONTROL SYSTEMS
418,MATH,CONTROL SYSTEMS
444,MATH,CONTROL SYSTEMS
447,MATH,CONTROL SYSTEMS
446,MATH,CONTROL SYSTEMS
461,MATH,CONTROL SYSTEMS
466,MATH,CONTROL SYSTEMS
423,GE,CONTROL SYSTEMS
424,GE,CONTROL SYSTEMS
173,CS,CONTROL SYSTEMS
330,ECE,CONTROL SYSTEMS
348,ECE,CONTROL SYSTEMS
411,ECE,CONTROL SYSTEMS
412,ECE,CONTROL SYSTEMS
420,ECE,CONTROL SYSTEMS
448,CS,CONTROL SYSTEMS
464,ECE,CONTROL SYSTEMS
470,ECE,CONTROL SYSTEMS
489,ECE,CONTROL SYSTEMS
