courseNum,courseDept,interest
444,ECE,MICROELECTRONICS/PHOTONICS
441,ECE,MICROELECTRONICS/PHOTONICS
455,ECE,MICROELECTRONICS/PHOTONICS
495,ECE,MICROELECTRONICS/PHOTONICS
460,ECE,MICROELECTRONICS/PHOTONICS
487,ECE,MICROELECTRONICS/PHOTONICS
488,ECE,MICROELECTRONICS/PHOTONICS
357,CS,MICROELECTRONICS/PHOTONICS
442,ECE,MICROELECTRONICS/PHOTONICS
447,ECE,MICROELECTRONICS/PHOTONICS
452,ECE,MICROELECTRONICS/PHOTONICS
457,ECE,MICROELECTRONICS/PHOTONICS
484,ECE,MICROELECTRONICS/PHOTONICS
300,ME,MICROELECTRONICS/PHOTONICS
446,MATH,MICROELECTRONICS/PHOTONICS
460,PHYS,MICROELECTRONICS/PHOTONICS
486,PHYS,MICROELECTRONICS/PHOTONICS
487,PHYS,MICROELECTRONICS/PHOTONICS
