courseNum,courseDept,interest
310,ECE,REMOTE SENSING AND SPACE SCIENCE
350,ECE,REMOTE SENSING AND SPACE SCIENCE
453,ECE,REMOTE SENSING AND SPACE SCIENCE
456,ECE,REMOTE SENSING AND SPACE SCIENCE
458,ECE,REMOTE SENSING AND SPACE SCIENCE
468,ECE,REMOTE SENSING AND SPACE SCIENCE
415,Math,REMOTE SENSING AND SPACE SCIENCE
442,Math,REMOTE SENSING AND SPACE SCIENCE
446,Math,REMOTE SENSING AND SPACE SCIENCE
455,CS,REMOTE SENSING AND SPACE SCIENCE
361,ECE,REMOTE SENSING AND SPACE SCIENCE
452,ECE,REMOTE SENSING AND SPACE SCIENCE
454,ECE,REMOTE SENSING AND SPACE SCIENCE
459,ECE,REMOTE SENSING AND SPACE SCIENCE
460,ECE,REMOTE SENSING AND SPACE SCIENCE
