courseNum,courseDept,interest
313,ECE,SIGNAL PROCESSING
361,ECE,SIGNAL PROCESSING
310,ECE,SIGNAL PROCESSING
418,ECE,SIGNAL PROCESSING
420,ECE,SIGNAL PROCESSING
459,ECE,SIGNAL PROCESSING
486,ECE,SIGNAL PROCESSING
342,ECE,SIGNAL PROCESSING
391,ECE,SIGNAL PROCESSING
411,ECE,SIGNAL PROCESSING
425,ECE,SIGNAL PROCESSING
438,ECE,SIGNAL PROCESSING
350,ECE,SIGNAL PROCESSING
453,ECE,SIGNAL PROCESSING
460,ECE,SIGNAL PROCESSING
463,ECE,SIGNAL PROCESSING
480,ECE,SIGNAL PROCESSING
482,ECE,SIGNAL PROCESSING
483,ECE,SIGNAL PROCESSING
415,Math,SIGNAL PROCESSING
446,Math,SIGNAL PROCESSING
418,Math,SIGNAL PROCESSING
415,Math,SIGNAL PROCESSING
444,Math,SIGNAL PROCESSING
447,Math,SIGNAL PROCESSING
