courseNum,courseDept,interest
313,ECE,"TRUST, RELIABILITY, AND SECURITY"
422,ECE,"TRUST, RELIABILITY, AND SECURITY"
461,CS,"TRUST, RELIABILITY, AND SECURITY"
428,ECE,"TRUST, RELIABILITY, AND SECURITY"
435,ECE,"TRUST, RELIABILITY, AND SECURITY"
424,ECE,"TRUST, RELIABILITY, AND SECURITY"
463,CS,"TRUST, RELIABILITY, AND SECURITY"
419,ECE,"TRUST, RELIABILITY, AND SECURITY"
460,CS,"TRUST, RELIABILITY, AND SECURITY"
428,ECE,"TRUST, RELIABILITY, AND SECURITY"
439,ECE,"TRUST, RELIABILITY, AND SECURITY"
498,CS,"TRUST, RELIABILITY, AND SECURITY"
598,CS,"TRUST, RELIABILITY, AND SECURITY"
541,ECE,"TRUST, RELIABILITY, AND SECURITY"
542,ECE,"TRUST, RELIABILITY, AND SECURITY"
584,CS,"TRUST, RELIABILITY, AND SECURITY"
